Keyword,CatID,CatID_fixed,map_status,note
texture hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
layer hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
layer whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
layer pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
hybrid impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
hybrid whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
hybrid rise,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
hybrid burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
abstract hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
abstract whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
abstract pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
surreal pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
toon,TOON,,AMBIGUOUS,CatShort 'TOON' has 22 CatIDs
comic,TOON,,AMBIGUOUS,CatShort 'TOON' has 22 CatIDs
cartoon,TOON,,AMBIGUOUS,CatShort 'TOON' has 22 CatIDs
water,LIQ,,AMBIGUOUS,CatShort 'LIQ' has 5 CatIDs
liquid,LIQ,,AMBIGUOUS,CatShort 'LIQ' has 5 CatIDs
